level_0,index,Tipo,Genero,Estudios,Idiomas,Episodios,Duracion,Estado,Gustados,Nombre,Inicio_Emision,Fin_Emision,Fecha_Duracion,Año
0,0,OVA,Hentai,SuzukiMirano,Japonés,Desconocido,0,Enemision,15,Ikusei,2024-12-27,,0.0,2024.0
3,1,OVA,Hentai,T-Rex,Japonés,Desconocido,16,Enemision,8,Yumemiru otome,2024-11-29,,0.0,2024.0
7,2,OVA,Hentai,Nur,Japonés,Desconocido,0,Enemision,4,Bishoku ke no rule,2024-11-29,,0.0,2024.0
10,3,OVA,Hentai,Bluebread,Japonés,Desconocido,0,Enemision,5,Elf ni inmon wo tsukeru hon the animation,2024-11-29,,0.0,2024.0
15,4,ONA,Hentai,Seven,Japonés,1,16,Concluido,11,Oniisan ohitori desu ka,2024-11-29,,0.0,2024.0
18,5,OVA,Hentai,Bluebread,Japonés,2,0,Concluido,5,Mazome soap de aimashou,2024-11-15,2024-12-13,28.0,2024.0
20,6,OVA,Hentai,Majin,Japonés,Desconocido,0,Enemision,4,Mecha gishi resta no daibouken,2024-10-25,,0.0,2024.0
24,7,OVA,Hentai,BreakBottle,Japonés,2,17,Concluido,4,Kyokugen chikan tokuiten 3 the animation,2024-10-25,2024-12-20,56.0,2024.0
28,8,ONA,Hentai,TeatroNishiTokyoStudio,Japonés,1,27,Concluido,8,Tsuma netori rei boku no ayamachi kanojo no sentaku,2024-10-18,,0.0,2024.0
32,9,ONA,Hentai,StudioHokiboshi,Japonés,8,0,Enemision,53,Taishou itsuwari bridal migawari hanayome to gunpuku no mouai,2024-10-07,,0.0,2024.0
36,10,ONA,Hentai,Seven,Japonés,Desconocido,0,Enemision,52,Iribitari gal ni mako tsukawasete morau hanashi,2024-10-04,,0.0,2024.0
40,11,OVA,Hentai,T-Rex,Japonés,Desconocido,0,Enemision,34,Incha couple ga you gal tachi to sex training suru hanashi,2024-09-27,,0.0,2024.0
46,12,OVA,Hentai,Majin,Japonés,Desconocido,0,Enemision,11,Futsuma jo charlotte,2024-09-27,,0.0,2024.0
51,13,OVA,Hentai,Bluebread,Japonés,Desconocido,0,Enemision,73,Shounen ga otona ni natta natsu,2024-09-06,,0.0,2024.0
54,14,OVA,Hentai,NewGeneration,Japonés,Desconocido,15,Enemision,8,Sex ga suki de suki de daisuki na classmate no ano musume,2024-09-06,,0.0,2024.0
60,15,OVA,Hentai,T-Rex,Japonés,Desconocido,16,Enemision,21,Imaria,,,0.0,
63,16,OVA,Hentai,Seven,Japonés,Desconocido,0,Enemision,22,Bubble de house de the animation,,,0.0,
71,17,OVA,Hentai,Majin,Japonés,Desconocido,16,Enemision,5,Reginetta san no bouken,,,0.0,
75,18,OVA,Hentai,Seven,Japonés,Desconocido,0,Enemision,59,Seiyoku tsuyotsuyo the animation,2024-07-26,,0.0,2024.0
80,19,OVA,Hentai,Bluebread,Japonés,Desconocido,0,Enemision,41,Ito wo yoru,2024-07-19,,0.0,2024.0
82,20,ONA,Hentai,StudioHokiboshi,Japonés,Desconocido,6,Enemision,35,Yoasobi gurashi,2024-07-08,,0.0,2024.0
84,21,OVA,Hentai,T-Rex,Japonés,Desconocido,16,Enemision,31,Boku ni harem sexfriend ga dekita riyuu,2024-06-28,,0.0,2024.0
90,22,OVA,Hentai,Nur,Japonés,Desconocido,0,Enemision,11,Yarakashi,2024-06-28,,0.0,2024.0
92,23,OVA,Hentai,Nur,Japonés,Desconocido,0,Enemision,19,Gobaku,2024-06-28,,0.0,2024.0
95,24,OVA,Hentai,Shion,Japonés,2,0,Concluido,9,Sexfriend no senpai the animation,2024-06-28,,0.0,2024.0
98,25,OVA,Hentai,Studio1st,Japonés,Desconocido,0,Enemision,7,Tsuma wo dousoukai ni ikasetara,2024-06-07,,0.0,2024.0
102,26,OVA,Hentai,RyuuM's,Japonés,2,16,Concluido,10,Kyonyuu onna shikan sennou saimin,2024-05-31,,0.0,2024.0
108,27,OVA,Hentai,Majin,Japonés,Desconocido,15,Enemision,16,Mugoku no kuni no alice,2024-05-31,,0.0,2024.0
112,28,OVA,Hentai,Nur,Japonés,Desconocido,24,Enemision,11,Shuumatsu hospital,2024-05-31,,0.0,2024.0
115,29,OVA,Hentai,PoRO,Japonés,Desconocido,23,Enemision,5,Dearest blue,,,0.0,
118,30,OVA,Hentai,Studio1st,Japonés,1,26,Concluido,10,Rennyuu order the animation,,,0.0,
123,31,OVA,Hentai,Studio1st,Japonés,2,15,Concluido,9,Mebuki the animation,2024-04-26,2024-05-31,35.0,2024.0
127,32,OVA,Hentai,Majin,Japonés,Desconocido,0,Enemision,12,Succubus connect,,,0.0,
130,33,OVA,Hentai,T-Rex,Japonés,Desconocido,0,Enemision,16,Midareuchi,,,0.0,
135,34,OVA,Hentai,NewGeneration,Japonés,Desconocido,24,Enemision,35,Konomi ja nai kedo mukatsuku ane to aishou batsugun ecchi,,,0.0,
137,35,ONA,Fantasìa,StudioHokiboshi,Japonés,Desconocido,0,Enemision,288,Ateuma chara no kuse shite super darling ouji ni chouai sareteimasu,,,0.0,
141,36,OVA,Hentai,Bluebread,Japonés,Desconocido,12,Enemision,11,Nocturnal,,,0.0,
144,37,OVA,Hentai,Shion,Japonés,Desconocido,15,Enemision,18,Ojisan de umeru ana the animation,2024-03-29,,0.0,2024.0
148,38,OVA,Hentai,Majin,Japonés,Desconocido,0,Enemision,10,Ruins seeker,2024-03-29,,0.0,2024.0
151,39,OVA,Hentai,Seven,Japonés,Desconocido,16,Enemision,10,Haramaseya the animation,2024-03-22,,0.0,2024.0
154,40,OVA,Hentai,Bluebread,Japonés,Desconocido,0,Enemision,44,Kotowarenai haha,2024-03-15,,0.0,2024.0
157,41,OVA,Hentai,Bluebread,Japonés,Desconocido,0,Enemision,18,No waifu no life,2024-02-23,,0.0,2024.0
161,42,OVA,Hentai,Bluebread,Japonés,1,18,Concluido,39,Mitasarete mezameru asa ni jimi na choushoku wo the animation,2024-02-22,,0.0,2024.0
165,43,OVA,Hentai,Nur,Japonés,Desconocido,15,Enemision,11,69 itsuwari no bishou,2024-02-22,,0.0,2024.0
168,44,OVA,Hentai,Majin,Japonés,Desconocido,20,Enemision,15,Sinisistar,,,0.0,
172,45,OVA,Hentai,Studio1st,Japonés,Desconocido,20,Enemision,20,Fleur the animation,,,0.0,
176,46,OVA,Hentai,Nur,Japonés,Desconocido,20,Enemision,11,Shunka shuutou,2023-12-22,,0.0,2023.0
180,47,OVA,Hentai,Majin,Japonés,Desconocido,20,Enemision,13,Yuusha hime miria,2023-12-22,,0.0,2023.0
183,48,ONA,Tetonas,StudioHokiboshi,Japonés,Desconocido,6,Enemision,186,Modaete yo adam kun,2023-12-08,,0.0,2023.0
187,49,OVA,Hentai,T-Rex,Japonés,6,20,Concluido,47,Hatsukoi jikan,2023-11-24,2024-03-01,98.0,2023.0
188,50,OVA,Hentai,Nur,Japonés,Desconocido,20,Enemision,13,Ane jiyoku tsukushi neesan no shitagi,2023-11-24,,0.0,2023.0
192,51,OVA,Hentai,TeatroNishiTokyoStudio,Japonés,1,30,Concluido,10,Tsuma netori kan bijutsu kyoushi no baai,2023-11-17,,0.0,2023.0
195,52,OVA,Hentai,Studio1st,Japonés,Desconocido,20,Enemision,16,Kozukuri ninkatsu bu,2023-11-10,,0.0,2023.0
199,53,OVA,Hentai,Bluebread,Japonés,Desconocido,20,Enemision,20,Sweet and hot,2023-11-10,,0.0,2023.0
203,54,OVA,Hentai,NewGeneration,Japonés,Desconocido,20,Enemision,13,Doukyo suru neneki,2023-11-10,,0.0,2023.0
207,55,OVA,Hentai,Majin,Japonés,Desconocido,20,Enemision,7,Mahou touki lilustear,2023-10-27,,0.0,2023.0
210,56,OVA,Hentai,Nur,Japonés,Desconocido,20,Enemision,12,Mihitsu no koi,2023-10-27,,0.0,2023.0
214,57,OVA,Hentai,T-Rex,Japonés,2,16,Concluido,32,Tsuma ni damatte sokubaikai ni ikun ja nakatta,2023-10-06,,0.0,2023.0
218,58,ONA,Hentai,RabbitGate,Japonés,8,6,Concluido,29,Secret mission sennyuu sousakan wa zettai ni makenai,2023-10-02,2023-12-04,63.0,2023.0
222,59,OVA,Hentai,Majin,Japonés,Desconocido,20,Enemision,20,Night tail,2023-09-29,,0.0,2023.0
226,60,OVA,Hentai,Studio1st,Japonés,1,18,Concluido,11,Tanetsuke ojisan to papakko jd saimin seikatsu the animation,2023-09-29,,0.0,2023.0
230,61,OVA,Hentai,T-Rex,Japonés,6,20,Concluido,14,Tsundero series,2023-09-01,2024-02-02,154.0,2023.0
235,62,OVA,Hentai,Bluebread,Japonés,Desconocido,20,Enemision,13,Junjou decamelon,2023-09-01,,0.0,2023.0
241,63,OVA,Hentai,Seven,Japonés,1,29,Concluido,21,Kono koi ni kizuite the animation,,,0.0,
245,64,OVA,Hentai,BreakBottle,Japonés,2,17,Concluido,8,Sleepless nocturne the animation,,2023-10-27,,
248,65,OVA,Hentai,Studio1st,Japonés,1,19,Concluido,18,Tanetsuke ojisan to ntr hitozuma sex the animation,2023-07-28,,0.0,2023.0
253,66,OVA,Hentai,SuzukiMirano,Japonés,Desconocido,20,Enemision,6,Kunoichi ryoujokuden ajisai,2023-07-28,,0.0,2023.0
257,67,OVA,Hentai,Seven,Japonés,Desconocido,30,Enemision,17,Okusama no kaifuku jutsu the animation,2023-07-28,,0.0,2023.0
261,68,OVA,Hentai,Nur,Japonés,Desconocido,20,Enemision,12,So_low,2023-07-28,,0.0,2023.0
266,69,OVA,Hentai,AnimeAntennaIinkai,Japonés,2,17,Concluido,4,Mahou shoujo noble rose the animation,2023-07-14,2023-09-15,63.0,2023.0
272,70,OVA,Fantasìa,T-Rex,Japonés,2,16,Concluido,30,Sukebe elf tanbouki,2023-07-07,,0.0,2023.0
277,71,OVA,Hentai,Studio1st,Japonés,Desconocido,20,Enemision,29,1ldk jk ikinari doukyo micchaku hatsu ecchi,2023-07-07,,0.0,2023.0
281,72,ONA,Hentai,StudioHokiboshi,Japonés,8,6,Concluido,30,Fuufu koukan modorenai yoru,2023-07-02,2023-09-02,62.0,2023.0
285,73,ONA,Hentai,,Japonés,1,12,Concluido,17,Mark your kiss the animation,2023-06-14,,0.0,2023.0
289,74,OVA,Hentai,AnimeAntennaIinkai,Japonés,Desconocido,30,Enemision,4,Nightmare x deathscythe hangyaku no resonance,2023-05-26,,0.0,2023.0
293,75,OVA,Fantasìa,Majin,Japonés,Desconocido,20,Enemision,6,Fushigi no kuni no succubus,2023-05-26,,0.0,2023.0
299,76,OVA,Hentai,Studio1st,Japonés,Desconocido,20,Enemision,13,Maid kyouiku botsuraku kizoku rurikawa tsubaki the animation,2023-05-26,,0.0,2023.0
305,77,OVA,Hentai,RabbitGate,Japonés,2,20,Concluido,11,Rakuen shinshoku island of the dead,2023-05-26,2024-04-26,336.0,2023.0
311,78,OVA,Hentai,Nur,Japonés,2,24,Concluido,13,Kokuhaku,2023-04-28,2023-09-29,154.0,2023.0
316,79,OVA,Hentai,Bluebread,Japonés,2,20,Concluido,44,Tsurupeta shugo kishi elfina ochiru,2023-04-14,2023-06-23,70.0,2023.0
321,80,ONA,Tetonas,StudioHokiboshi,Japonés,8,6,Concluido,100,Sazanami soushi ni junketsu wo sasagu,2023-04-03,2023-06-05,63.0,2023.0
327,81,OVA,Fantasìa,Majin,Japonés,4,16,Concluido,25,Goblin no suana,2023-03-31,2023-11-24,238.0,2023.0
332,82,OVA,Hentai,Bluebread,Japonés,2,19,Concluido,21,Ikumonogakari the animation,2023-03-31,,0.0,2023.0
338,83,OVA,Hentai,Seven,Japonés,1,27,Concluido,11,Futei with the animation,2023-03-31,,0.0,2023.0
342,84,OVA,Hentai,T-Rex,Japonés,1,15,Concluido,19,Class de otoko wa boku ichinin,2023-03-03,,0.0,2023.0
347,85,OVA,Hentai,T-Rex,Japonés,4,16,Concluido,22,Bonyuu chan wa dashitai,2023-03-03,2023-04-07,35.0,2023.0
353,86,OVA,Hentai,Studio1st,Japonés,2,25,Concluido,18,Majo wa kekkyoku sono kyaku to the animation,2023-02-24,2023-10-27,245.0,2023.0
358,87,OVA,Hentai,Bluebread,Japonés,Desconocido,20,Enemision,9,Aoharu snatch,2023-02-17,,0.0,2023.0
361,88,ONA,Hentai,Seven,Japonés,2,15,Concluido,26,Koumi jima shuu 7 de umeru mesu tachi,2023-02-17,2023-05-17,89.0,2023.0
366,89,OVA,Hentai,NewGeneration,Japonés,Desconocido,16,Enemision,98,Imouto wa gal kawaii,2023-02-02,,0.0,2023.0
370,90,OVA,Fantasìa,Majin,Japonés,Desconocido,16,Enemision,210,Otogibanashi no onigokko,,,0.0,
375,91,OVA,Hentai,Studio1st,Japonés,1,22,Concluido,78,3piece the animation,,,0.0,
379,92,OVA,Hentai,Nur,Japonés,Desconocido,22,Enemision,112,Yari agari,,,0.0,
384,93,Serie,Tetonas,,Japonés,Desconocido,19,Concluido,61,My mother,,,0.0,
389,94,OVA,Ahegao,Shion,Japonés,Desconocido,20,Enemision,61,Isekai kita node sukebe skill de zenryoku ouka shiyou to omou the animation,2022-12-26,,0.0,2022.0
394,95,OVA,Hentai,Nur,Japonés,Desconocido,24,Enemision,17,Mama katsu midareru mama tachi no himitsu,2022-12-23,,0.0,2022.0
398,96,OVA,Hentai,Majin,Japonés,Desconocido,20,Enemision,21,Roshutsu kei mahou joshi daisei christhea,2022-12-22,,0.0,2022.0
402,97,ONA,Vanilla,RabbitGate,Japonés,8,0,Concluido,139,Showtime uta no oneesan datte shitai 2,2022-12-08,,0.0,2022.0
406,98,OVA,Hentai,Bluebread,Japonés,2,17,Concluido,137,Mesudachi the animation,2022-11-24,2023-01-26,63.0,2022.0
411,99,OVA,Hentai,T-Rex,Japonés,2,16,Concluido,38,Succubus yondara gibo ga kita,2022-11-04,,0.0,2022.0
417,100,OVA,Hentai,BreakBottle,Japonés,2,16,Concluido,8,Raikou shinki aigis magia pandra saga 3rd ignition the animation,2022-10-28,2022-12-23,56.0,2022.0
425,101,OVA,Hentai,PoRO,Japonés,2,24,Concluido,20,Eroriman 2,2022-10-28,2022-12-23,56.0,2022.0
431,102,OVA,Hentai,TeatroNishiTokyoStudio,Japonés,1,28,Concluido,5,Tsuma netori 3 kairaku ni ochita injiru kyoushi tachi,2022-10-28,,0.0,2022.0
435,103,OVA,Hentai,T-Rex,Japonés,Desconocido,16,Enemision,208,Boku ni sexfriend ga dekita riyuu,2022-10-06,,0.0,2022.0
440,104,ONA,Virgenes,StudioHokiboshi,Japonés,8,6,Concluido,1014,Harem camp,2022-10-02,,0.0,2022.0
444,105,OVA,Hentai,Majin,Japonés,Desconocido,16,Enemision,106,Renseijutsushi colette no h na sakusei monogatari,2022-09-29,,0.0,2022.0
448,106,OVA,Hentai,Shion,Japonés,1,26,Concluido,264,Delivery chiko wo tanomitai onee san,2022-09-29,,0.0,2022.0
450,107,OVA,Hentai,PoRO,Japonés,Desconocido,24,Enemision,96,Korashime 2 kyouikuteki depaga shidou,2022-09-29,,0.0,2022.0
455,108,OVA,Hentai,T-Rex,Japonés,1,20,Concluido,13,Iinchou wa saimin appli wo shinjiteru,2022-09-02,,0.0,2022.0
458,109,OVA,Hentai,CollaborationWorks,Japonés,Desconocido,20,Enemision,81,Kitsune musume no ecchi na oyado,,,0.0,
461,110,OVA,Comedia,Seven,Japonés,1,25,Concluido,7,Kisaku reiwa,,,0.0,
467,111,OVA,Hentai,NewGeneration,Japonés,Desconocido,20,Enemision,134,Boku wa chiisana succubus no shimobe,,,0.0,
471,112,OVA,Hentai,BreakBottle,Japonés,2,20,Concluido,108,Sleepless a midsummer nights dream the animation,2022-07-28,2022-09-29,63.0,2022.0
475,113,OVA,Hentai,MousouSenka,Japonés,Desconocido,20,Enemision,94,Summer inaka no seikatsu,2022-07-28,,0.0,2022.0
