index,Tipo,Genero,Estudios,Idiomas,Episodios,Duracion,Estado,Gustados,Nombre,Inicio_Emision,Fin_Emision
0,OVA,Hentai,SuzukiMirano,Japonés,Desconocido,0,Enemision,15,Ikusei,2024-12-27,
0,OVA,Maduras,SuzukiMirano,Japonés,Desconocido,0,Enemision,15,Ikusei,2024-12-27,
0,OVA,Tetonas,SuzukiMirano,Japonés,Desconocido,0,Enemision,15,Ikusei,2024-12-27,
1,OVA,Hentai,T-Rex,Japonés,Desconocido,16,Enemision,8,Yumemiru otome,2024-11-29,
1,OVA,Virgenes,T-Rex,Japonés,Desconocido,16,Enemision,8,Yumemiru otome,2024-11-29,
1,OVA,Ahegao,T-Rex,Japonés,Desconocido,16,Enemision,8,Yumemiru otome,2024-11-29,
1,OVA,Violacion,T-Rex,Japonés,Desconocido,16,Enemision,8,Yumemiru otome,2024-11-29,
2,OVA,Hentai,Nur,Japonés,Desconocido,0,Enemision,4,Bishoku ke no rule,2024-11-29,
2,OVA,Escolares,Nur,Japonés,Desconocido,0,Enemision,4,Bishoku ke no rule,2024-11-29,
2,OVA,Violacion,Nur,Japonés,Desconocido,0,Enemision,4,Bishoku ke no rule,2024-11-29,
3,OVA,Hentai,Bluebread,Japonés,Desconocido,0,Enemision,5,Elf ni inmon wo tsukeru hon the animation,2024-11-29,
3,OVA,Ahegao,Bluebread,Japonés,Desconocido,0,Enemision,5,Elf ni inmon wo tsukeru hon the animation,2024-11-29,
3,OVA,Violacion,Bluebread,Japonés,Desconocido,0,Enemision,5,Elf ni inmon wo tsukeru hon the animation,2024-11-29,
3,OVA,Tentaculos,Bluebread,Japonés,Desconocido,0,Enemision,5,Elf ni inmon wo tsukeru hon the animation,2024-11-29,
3,OVA,Monstruos,Bluebread,Japonés,Desconocido,0,Enemision,5,Elf ni inmon wo tsukeru hon the animation,2024-11-29,
4,ONA,Hentai,Seven,Japonés,1,16,Concluido,11,Oniisan ohitori desu ka,2024-11-29,
4,ONA,Ahegao,Seven,Japonés,1,16,Concluido,11,Oniisan ohitori desu ka,2024-11-29,
4,ONA,Tetonas,Seven,Japonés,1,16,Concluido,11,Oniisan ohitori desu ka,2024-11-29,
5,OVA,Hentai,Bluebread,Japonés,2,0,Concluido,5,Mazome soap de aimashou,2024-11-15,2024-12-13
5,OVA,Tetonas,Bluebread,Japonés,2,0,Concluido,5,Mazome soap de aimashou,2024-11-15,2024-12-13
6,OVA,Hentai,Majin,Japonés,Desconocido,0,Enemision,4,Mecha gishi resta no daibouken,2024-10-25,
6,OVA,Bondage,Majin,Japonés,Desconocido,0,Enemision,4,Mecha gishi resta no daibouken,2024-10-25,
6,OVA,Tentaculos,Majin,Japonés,Desconocido,0,Enemision,4,Mecha gishi resta no daibouken,2024-10-25,
6,OVA,Monstruos,Majin,Japonés,Desconocido,0,Enemision,4,Mecha gishi resta no daibouken,2024-10-25,
7,OVA,Hentai,BreakBottle,Japonés,2,17,Concluido,4,Kyokugen chikan tokuiten 3 the animation,2024-10-25,2024-12-20
7,OVA,Virgenes,BreakBottle,Japonés,2,17,Concluido,4,Kyokugen chikan tokuiten 3 the animation,2024-10-25,2024-12-20
7,OVA,Ahegao,BreakBottle,Japonés,2,17,Concluido,4,Kyokugen chikan tokuiten 3 the animation,2024-10-25,2024-12-20
7,OVA,Tetonas,BreakBottle,Japonés,2,17,Concluido,4,Kyokugen chikan tokuiten 3 the animation,2024-10-25,2024-12-20
8,ONA,Hentai,TeatroNishiTokyoStudio,Japonés,1,27,Concluido,8,Tsuma netori rei boku no ayamachi kanojo no sentaku,2024-10-18,
8,ONA,Escolares,TeatroNishiTokyoStudio,Japonés,1,27,Concluido,8,Tsuma netori rei boku no ayamachi kanojo no sentaku,2024-10-18,
8,ONA,Maduras,TeatroNishiTokyoStudio,Japonés,1,27,Concluido,8,Tsuma netori rei boku no ayamachi kanojo no sentaku,2024-10-18,
8,ONA,Tetonas,TeatroNishiTokyoStudio,Japonés,1,27,Concluido,8,Tsuma netori rei boku no ayamachi kanojo no sentaku,2024-10-18,
9,ONA,Hentai,StudioHokiboshi,Japonés,8,0,Enemision,53,Taishou itsuwari bridal migawari hanayome to gunpuku no mouai,2024-10-07,
9,ONA,Romance,StudioHokiboshi,Japonés,8,0,Enemision,53,Taishou itsuwari bridal migawari hanayome to gunpuku no mouai,2024-10-07,
